0	1,5	[1-0.9;5-0.1],[5-0.9;1-0.1]	-0.1:1,-0.1:5
1	0,6,2	[0-0.9;6-0.05;2-0.05],[6-0.9;0-0.05;2-0.05],[2-0.9;0-0.05;6-0.05]	-0.1:0,-0.1:6,-10:2
2	1,7,3	[1-0.9;7-0.05;3-0.05],[7-0.9;1-0.05;3-0.05],[3-0.9;1-0.05;7-0.05]	-0.1:1,-10:7,-10:3
3	2,8,4	[2-0.9;8-0.05;4-0.05],[8-0.9;2-0.05;4-0.05],[4-0.9;2-0.05;8-0.05]	-10:2,-0.1:8,-10:4
4	3,9	[3-0.9;9-0.1],[9-0.9;3-0.1]	-10:3,-0.1:9
5	0,6,10	[0-0.9;6-0.05;10-0.05],[6-0.9;0-0.05;10-0.05],[10-0.9;0-0.05;6-0.05]	-0.1:0,-0.1:6,-0.1:10
6	1,5,7,11	[1-0.9;5-0.0333333;7-0.0333333;11-0.0333333],[5-0.9;1-0.0333333;7-0.0333333;11-0.0333333],[7-0.9;1-0.0333333;5-0.0333333;11-0.0333333],[11-0.9;1-0.0333333;5-0.0333333;7-0.0333333]	-0.1:1,-0.1:5,-10:7,-0.1:11
7	2,6,8,12	[2-0.9;6-0.0333333;8-0.0333333;12-0.0333333],[6-0.9;2-0.0333333;8-0.0333333;12-0.0333333],[8-0.9;2-0.0333333;6-0.0333333;12-0.0333333],[12-0.9;2-0.0333333;6-0.0333333;8-0.0333333]	-10:2,-0.1:6,-0.1:8,-0.1:12
8	3,7,9,13	[3-0.9;7-0.0333333;9-0.0333333;13-0.0333333],[7-0.9;3-0.0333333;9-0.0333333;13-0.0333333],[9-0.9;3-0.0333333;7-0.0333333;13-0.0333333],[13-0.9;3-0.0333333;7-0.0333333;9-0.0333333]	-10:3,-10:7,-0.1:9,-10:13
9	4,8,14	[4-0.9;8-0.05;14-0.05],[8-0.9;4-0.05;14-0.05],[14-0.9;4-0.05;8-0.05]	-10:4,-0.1:8,-10:14
10	5,11,15	[5-0.9;11-0.05;15-0.05],[11-0.9;5-0.05;15-0.05],[15-0.9;5-0.05;11-0.05]	-0.1:5,-0.1:11,-10:15
11	6,10,12,16	[6-0.9;10-0.0333333;12-0.0333333;16-0.0333333],[10-0.9;6-0.0333333;12-0.0333333;16-0.0333333],[12-0.9;6-0.0333333;10-0.0333333;16-0.0333333],[16-0.9;6-0.0333333;10-0.0333333;12-0.0333333]	-0.1:6,-0.1:10,-0.1:12,-0.1:16
12	7,11,13,17	[7-0.9;11-0.0333333;13-0.0333333;17-0.0333333],[11-0.9;7-0.0333333;13-0.0333333;17-0.0333333],[13-0.9;7-0.0333333;11-0.0333333;17-0.0333333],[17-0.9;7-0.0333333;11-0.0333333;13-0.0333333]	-10:7,-0.1:11,-10:13,100:17
13	8,12,14,18	[8-0.9;12-0.0333333;14-0.0333333;18-0.0333333],[12-0.9;8-0.0333333;14-0.0333333;18-0.0333333],[14-0.9;8-0.0333333;12-0.0333333;18-0.0333333],[18-0.9;8-0.0333333;12-0.0333333;14-0.0333333]	-0.1:8,-0.1:12,-10:14,-0.1:18
14	9,13,19	[9-0.9;13-0.05;19-0.05],[13-0.9;9-0.05;19-0.05],[19-0.9;9-0.05;13-0.05]	-0.1:9,-10:13,-10:19
15	10,16,20	[10-0.9;16-0.05;20-0.05],[16-0.9;10-0.05;20-0.05],[20-0.9;10-0.05;16-0.05]	-0.1:10,-0.1:16,-0.1:20
16	11,15,17,21	[11-0.9;15-0.0333333;17-0.0333333;21-0.0333333],[15-0.9;11-0.0333333;17-0.0333333;21-0.0333333],[17-0.9;11-0.0333333;15-0.0333333;21-0.0333333],[21-0.9;11-0.0333333;15-0.0333333;17-0.0333333]	-0.1:11,-10:15,100:17,-0.1:21
17	12,16,18,22	[12-0.9;16-0.0333333;18-0.0333333;22-0.0333333],[16-0.9;12-0.0333333;18-0.0333333;22-0.0333333],[18-0.9;12-0.0333333;16-0.0333333;22-0.0333333],[22-0.9;12-0.0333333;16-0.0333333;18-0.0333333]	-0.1:12,-0.1:16,-0.1:18,-0.1:22
18	13,17,19,23	[13-0.9;17-0.0333333;19-0.0333333;23-0.0333333],[17-0.9;13-0.0333333;19-0.0333333;23-0.0333333],[19-0.9;13-0.0333333;17-0.0333333;23-0.0333333],[23-0.9;13-0.0333333;17-0.0333333;19-0.0333333]	-10:13,100:17,-10:19,-0.1:23
19	14,18,24	[14-0.9;18-0.05;24-0.05],[18-0.9;14-0.05;24-0.05],[24-0.9;14-0.05;18-0.05]	-10:14,-0.1:18,-10:24
20	15,21	[15-0.9;21-0.1],[21-0.9;15-0.1]	-10:15,-0.1:21
21	16,20,22	[16-0.9;20-0.05;22-0.05],[20-0.9;16-0.05;22-0.05],[22-0.9;16-0.05;20-0.05]	-0.1:16,-0.1:20,-0.1:22
22	17,21,23	[17-0.9;21-0.05;23-0.05],[21-0.9;17-0.05;23-0.05],[23-0.9;17-0.05;21-0.05]	100:17,-0.1:21,-0.1:23
23	18,22,24	[18-0.9;22-0.05;24-0.05],[22-0.9;18-0.05;24-0.05],[24-0.9;18-0.05;22-0.05]	-0.1:18,-0.1:22,-10:24
24	19,23	[19-0.9;23-0.1],[23-0.9;19-0.1]	-10:19,-0.1:23
0
17
