0	1,5	-0.1,-0.1
1	0,6,2	-0.1,-10,-0.1
2	1,7,3	-0.1,-10,-0.1
3	2,8,4	-0.1,-10,-0.1
4	3,9	-0.1,-0.1
5	0,6,10	-0.1,-10,-0.1
6	1,5,7,11	-0.1,-0.1,-10,-0.1
7	2,6,8,12	-0.1,-10,-10,-0.1
8	3,7,9,13	-0.1,-10,-0.1,-0.1
9	4,8,14	-0.1,-10,-0.1
10	5,11,15	-0.1,-0.1,-0.1
11	6,10,12,16	-10,-0.1,-0.1,-10
12	7,11,13,17	-10,-0.1,-0.1,-0.1
13	8,12,14,18	-10,-0.1,-0.1,-10
14	9,13,19	-0.1,-0.1,-0.1
15	10,16,20	-0.1,-10,-0.1
16	11,15,17,21	-0.1,-0.1,-0.1,-0.1
17	12,16,18,22	-0.1,-10,-10,100
18	13,17,19,23	-0.1,-0.1,-0.1,-0.1
19	14,18,24	-0.1,-10,-0.1
20	15,21	-0.1,-0.1
21	16,20,22	-10,-0.1,100
22	17,21,23	-0.1,-0.1,-0.1
23	18,22,24	-10,100,-0.1
24	19,23	-0.1,-0.1
2
22
